project_id,name,time_took
kkst1041203288,Patrick Blindauer's 2009 Holiday Puzzlefest,2684287.0
kkst1910535348,Saturated Dreamers: IGF Fee and Misceallenous Development Costs,4766419.0
kkst120033259,New Music Composer/Performer Collective,7702105.0
kkst1610361365,The Loom Debut Full-Length Album!,4151020.0
kkst1069008122,I need more,4117328.0
kkst1863044232,Sam Heilig Records an Album!,5281461.0
kkst1835451648,LOVELAND Round 4: Premonitions of Inches In Detroit To Come,1267792.0
kkst1435810646,The Land of Dreams - The Dr. Christmas Biplane - creating a record album!,3135281.0
kkst296049645,50 Characters in 50 Weeks,3674660.0
kkst1761172984,Mysterious Letters,1568441.0
kkst655925803,A Fight to the Death is recording a new album!,5137183.0
kkst288438276,Launch the webstream for the Chicago Independent Radio Project (CHIRP) radio station!,5379987.0
kkst1528599332,Music Crossing Borders: Bringing Music and Music Education Across the Globe,2599212.0
kkst428175963,BE A PART OF THE FIRST SHOTGUN LOVER EP,5240567.0
kkst329323992,The XYZ Affair Make An Album. Big Time.,5253729.0
kkst1910047923,"Jamie Tanner Makes A New Graphic Novel, You Get Original Art (and More)",5277595.0
kkst840212984,Max-Out! (Harry Hong's Quest For Perfection on NES Tetris)  [short documentary film],7740206.0
kkst636472689,Soup and Bread: The Cookbook,5386414.0
kkst693956657,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Night of the Punks"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" - 80's Throwback Horror-Comedy Short! (FOOD BUDGET)",5973780.0
kkst464613104,Laugh Riot! The Comedy-Improv Card Game 11/2009,1253548.0
kkst1966069095,Creation Science,2474863.0
kkst2040233178,Fund the new Stripmall Architecture release,2689748.0
kkst2114243085,Tyler Herrin wants YOU (and needs you) for his first album!,7720934.0
kkst948063685,Big Ben To Brussels - And Onwards To Copenhagen,1539516.0
kkst1001856035,UC Berkeley Alumni Literary Anthology,7343651.0
kkst1132641382,"Support """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Homecoming"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""": A Short Film",2556365.0
kkst1358142421,Inflatable ghost dumpster,1345037.0
kkst471548634,The Jason Scott Sabbatical,2774199.0
kkst1540501214,For Thousands of Miles - a documentary about leaving everything behind,7721703.0
kkst640386702,"Making """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Otis"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" Happen",2631855.0
kkst2011174146,Risk Factors. Not Your Mother's Breast Cancer Stories,7749849.0
kkst959022211,Remedy Quarterly,3949548.0
kkst1210871422,Pits And Perception,3868218.0
kkst1602089786,Brainchildren Record!,6628060.0
kkst1306333337,Seasonal Heartland Markets:  launch the research road trip,4642954.0
kkst964305833,The Umoja Arts Project,7395709.0
kkst2088781890,The Circuit: Live Weekly Tech News Digest,7598787.0
kkst1126079486,TRUE KING: The Steve Hawkes Story,4558618.0
kkst1072225422,Syzygy New Music Concert,2340952.0
kkst613550619,LOVELAND Round 6: A Force More Powerful,775217.0
kkst879268094,Become A Citizen of The Wonder City,7710376.0
kkst1348956639,"kc quilty needs $1000 to release CLOVER/CORIANDER, our debut album!",5655352.0
kkst480759597,Xylopholks India Outreach Tour 2010,7579109.0
kkst314671166,I'M NOT ME - feature film,7689741.0
kkst1628220199,Join the Multiplex: Book 1 Club of Awesome,7725317.0
kkst462920316,Join DIY artist Ryan Hanna in making a pivotal VINYL LP & be featured in documentary!,7691167.0
kkst656466599,A prototype shop that needs some love.,7707782.0
kkst895647894,PRESS ON 2009,7651511.0
kkst61273687,Living Objects: Public Art | Public Space,7691736.0
kkst1362644178,"J. S Bach - Six Suites for Cello Solo, a complete recording by Ovidiu Marinescu",7740964.0
kkst1890546640,Books & Beyond,7770986.0
kkst1495772204,"Be Our Record Label. You, Music Lovers, Decide Who Rises Up!",7775807.0
kkst310957486,The Winter Sounds Kick Out the Jams! (New Record Fundraiser),7775862.0
kkst945892798,Put This On: Season One,3130105.0
kkst417334371,The Age of Rockets are Making a Super Pretentious New Album!,7709378.0
kkst1323132498,Giant Crowd Painting,5209344.0
kkst100182282,Free Original Paintings In Every (major) City (of USofA). Awesome,6979188.0
kkst633786367,LOVELAND Round 7: Peak Inches!,961687.0
kkst1320279085,Hamilton Roed Fund Raiser,4397745.0
kkst1363782404,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Golden Earrings"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" - an interdependent film ",2592261.0
kkst875541463,Bandwagon artist collaboration seeks exhibition funding.,7726948.0
kkst1973395378,The Future of Music By Way of Cuba,4746074.0
kkst296435064,LET'S MAKE A COMEDY RECORD TOGETHER!,5432684.0
kkst1643061249,36 STAIRS - film,3957089.0
kkst814711584,IN TRANSIT presents: 16mm,5196143.0
kkst933372943,The Hike: Help Me Finish My Short Horror/Paranormal Thriller Film,3796075.0
kkst950248457,CHAPPO ALBUM/TOUR: Send these bandits to SPACE in 2010,3548686.0
kkst274032748,GOLD Season 1 DVD Club,6914729.0
kkst507612492,Reanimation Library Coffer Builder,2722424.0
kkst1392995770,On the Road Again: Asobi Seksu Goes on Tour,5036487.0
kkst2034143579,HURRY!  help get BASS ACKWARDS to SUNDANCE!,389598.0
kkst2121542448,Back To Blue makes a new record!,2704142.0
kkst10502937,Finish the Come & Live! Website!,7218802.0
kkst590270184,"Performance of Lawrence Axelrod's """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Songs of Yes"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" in Chicago by new music group CUBE",4453910.0
kkst1141160445,BIG QUESTIONS: A pilot for a web video series,3895555.0
kkst1019734972,The Powder Kegs are recording a new E.P!,4551953.0
kkst1753719562,Drawn In: Colorido Comes to Life,4275441.0
kkst1153089614,Getting Your Sh*t Together: Business of Art Software for Artists,6190384.0
kkst849689700,Come along as Midnight Hour makes a record!,4784961.0
kkst2019129123,"Torino:Margolis """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Action Potential""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",7694981.0
kkst795796101,Three-Month Travel Agency in an Italian Ice Store,3458922.0
kkst84452364,Be a part of the new Vetran record!,3449783.0
kkst1081318825,Book! (Darlene wants to give you one),5643455.0
kkst998104353,"Jon Cowart's  First Full-Length CD  """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""EVER DAYDREAMING"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" ",5413402.0
kkst458870787,Be a part of the making of Sara Radle's fourth solo record!,3195050.0
kkst1359042771,The Red Loft Decoration Fund.,690720.0
kkst123373676,Kayle Clements Project,3469573.0
kkst217691063,"COLOR ME OBSESSED, the potentially true story of The Replacements",7757930.0
kkst1411504795,Help this Teen Girl Band Rock Out!,2668813.0
kkst596090053,Get TUB to Sundance!,1190073.0
kkst2023964817,"Psycliq is Going on iTunes, Amazon, and Everywhere Else!",7734664.0
kkst591701673,Debo Band Returns to Africa,2719665.0
kkst1523014737,The Big Exit Film Clip Shoot,3939314.0
kkst338416508,"An illustrated """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""luci.a variations"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""": Part I",3303443.0
kkst1458369397,Publish Two of Box Brown's Independent Comics,4654048.0
kkst1820293248,Postmedium: Portfolios for New Orleans Artists,2586967.0
kkst1330338359,"Meet Laurel, FAB's Secret Weapon.",3971822.0
kkst1302253569,Bigger Bads,2157547.0
kkst1068653809,Sight Unseen: A new online magazine that lets you peek inside the lives of creatives,7514928.0
kkst1903644569,William S. Burroughs: A Man Within,2862088.0
kkst749594990,Life Flashes By - a video game about what might have been,7727306.0
kkst1482285695,EUROCRIME! cinema documentary needs to begin licensing film clips,7694646.0
kkst636487946,Liquisity 2- An indie game of liquid platforming!,3996504.0
kkst1297428442,"The Peeesseye """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Pestilence & Joy"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" LP Fund",5189088.0
kkst425219986,Hunting: Fundraising Adventure,4948463.0
kkst320937025,Project: Courage and Consequence - an LP comp./ culture jam of bands against Rove,2087887.0
kkst121977936,One Nine Nine Four: 90's Punk Rock Documentary,4740558.0
kkst1075047104,Peripheral City: Episode One,5788700.0
kkst601679900,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Two Years in Correspondence"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" from The WOW Collective in Armenia",7036817.0
kkst434985039,The Life & Times Of... making a Debut Album!,7081888.0
kkst1160512034,JENS PULVER | DRIVEN a feature documentary about a legendary fighter's last march,1731403.0
kkst2073967457,The Dolls Of Lisbon,7772643.0
kkst1808121811,Before You Close Your Eyes: A Game about Personality and Consequences,7105708.0
kkst1432289935,EDIBLE CITY - a movie in the making,7559582.0
kkst1362990603,Casualties: Unwoman solo album,6711073.0
kkst872160570,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""We Are With the Band"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" - an original comedy web series about hipsters ",2291156.0
kkst371960077,Recording of Wunmi's dream Album: Ghana or bust!,6655061.0
kkst1542631139,Help Atomica Project Make Something Beautiful.,5724534.0
kkst101828667,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Art 2 Art"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" Look Laugh and Learn - a Painting Instructional Program for PBS TV",7741877.0
kkst821949273,Everybody get some! ART CHEAP!,751565.0
kkst552977529,The Gentlemen of the South Sandwiche Islands,7428637.0
kkst1155474523,"Crap Hound #4: Clowns, Devils & Bait!",3480567.0
kkst203062388,The Legend Of El Limbo,7147474.0
kkst1813338717,A Hackerspace Grows in Brooklyn.,2241161.0
kkst1387718232,Project Nihon: Sustainable Art Travel,4649296.0
kkst695131245,Open Secret,5635024.0
kkst1758267351,"The Sad Bastard Book Club- Recording Doom in the Woods, Making Books in our Apartment",3382844.0
kkst2022455013,Snooze b/w Blue Widow 7 inch + CDR,7762444.0
kkst1253552714,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""BUGBABY"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", a horror comedy starring Mink Stole!",2355702.0
kkst298295301,The MetropoliTones Record a new CD! You get Prizes!,3452274.0
kkst67500826,Lumi Co. – A NEW TEXTILE PRINTING TECHNOLOGY,5222720.0
kkst1017489933,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Solar Wind Theory"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" the Album that could!!!",7324504.0
kkst159377006,Deathless: A Microfiction Novel by Graveyard Greg,7712786.0
kkst1026946731,Documentary - Surviving or Thriving?,7699013.0
kkst1615862106,An Engineer's guide to Silicon Valley startups,7723054.0
kkst1186859590,"Ian's Debut Album - """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Perennials""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",6728960.0
kkst1637513235,"Two Indy Artists, 10+ shows, 10 Day West Coast Tour. ",7285070.0
kkst352481463,The Poetry Bomb,7693226.0
kkst1701143061,Release The New Trances Arc Album!,2667001.0
kkst428443688,Jonah Knight's new album wants to look different,3664504.0
kkst2072556567,CAPTURE: A WAVES Documentary,3498937.0
kkst1339602382,Make Music Happen! (starring DeVille),7773820.0
kkst1699169024,"Bringing A Wilhelm Scream, Smoke Or Fire, Energy, L'antietam, Rebels of Art to Lowell",1522793.0
kkst1003095315,A new era in Arts Administration  w/ PushPush Theater & NewStreetArts Portal Project.,2053541.0
kkst1134671972,The Gopher Illustrated goes to Print!,7691301.0
kkst1530448741,Coming & Crying: real stories about sex from the other side of the bed,3789677.0
kkst845021256,Bring Amazing 8-Bit Artists to Datapop 2010,1877714.0
kkst337603709,'Force Majeure': The FIRST Azeri-Turkish-US Film...EVER,2679888.0
kkst676724834,Bright Bike DIY Kits: night visibility for safer riding,1914218.0
kkst639334527,National Underground Filming at Harvest Of Hope Festival,1891306.0
kkst631961527,Untitled TRAIN Movie 2010,2680254.0
kkst1025960193,Get Sgt Dunbar & the Hobo Banned to SXSW 2010,2005495.0
kkst1960346485,New Chordials Album!,7329779.0
kkst795616595,GRASS STAINS : Development Funds,1557276.0
kkst174982980,Hank In Time - Feature Film,2793056.0
kkst467483025,"Let's recreate the 1985 Kate Bush album """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Hounds of Love""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",7083593.0
kkst1749246901,FLUTES AND ROOTS,4515872.0
kkst898225320,Asian Elephant Conservation Documentary,7774658.0
kkst316575535,■ VFX for SCI-FI shortfilm SIMILO ■,2613755.0
kkst160115300,Gamma4: Kokoromi brings legendary indie game showcase to San Francisco,2444012.0
kkst1437652435,The Pink Hotel Completion & Exhibition Fund,2516652.0
kkst604241214,HOW MATA HARI LOST HER HEAD AND FOUND HER BODY: Help me save her!,2668104.0
kkst677976850,LOVELAND Season 2 Pre-Game: The Legend of The Ghost Inches,1465138.0
kkst953040553,Andrew vs. The Collective,4046237.0
kkst1293973749,Comedy Web Series: Mother Eve's Secret Garden of Sensual Sisterhood,1397291.0
kkst1271007479,Cherry Bomb- it's time to beat Hollywood at its own game,7764471.0
kkst2135734063,YOU ONLY RAP ABOUT WHAT?…,7755883.0
kkst329738182,"Homespun:  A Keep Your Fork, There's Pie Album",3731269.0
kkst2107262427,The Ghosts,7469462.0
kkst1353517435,The Abolitionist Hymnal,5264874.0
kkst904229908,Dear Mr. Watterson - a cinematic exploration of Calvin & Hobbes,7772113.0
